Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2020-02-04 00:00:00,CHEESE (CASH,2117,3621,150,683,-1504,5738,18446
2020-02-11 00:00:00,CHEESE (CASH,1792,4094,-325,473,-2302,5886,16075
2020-02-18 00:00:00,CHEESE (CASH,1867,4215,75,121,-2348,6082,16317
2020-02-25 00:00:00,CHEESE (CASH,1552,4772,-315,557,-3220,6324,17415
2020-01-07 00:00:00,CHEESE (CASH,1444,2791,-240,-463,-1347,4235,16479
2020-01-14 00:00:00,CHEESE (CASH,1346,2950,-98,159,-1604,4296,16678
2020-01-21 00:00:00,CHEESE (CASH,1364,3021,18,71,-1657,4385,16909
2020-01-28 00:00:00,CHEESE (CASH,1967,2938,603,-83,-971,4905,18058
2019-12-03 00:00:00,CHEESE (CASH,2824,2953,-35,151,-129,5777,20790
2019-12-10 00:00:00,CHEESE (CASH,2246,3042,-578,89,-796,5288,17881
2019-12-17 00:00:00,CHEESE (CASH,1802,2973,-444,-69,-1171,4775,19014
2019-12-31 00:00:00,CHEESE (CASH,1684,3254,48,269,-1570,4938,19794
2019-11-05 00:00:00,CHEESE (CASH,2519,2946,-440,-87,-427,5465,17796
2019-11-12 00:00:00,CHEESE (CASH,2538,2544,19,-402,-6,5082,18862
2019-11-19 00:00:00,CHEESE (CASH,2868,2420,330,-124,448,5288,19802
2019-11-26 00:00:00,CHEESE (CASH,2859,2802,-9,382,57,5661,20382
2019-10-01 00:00:00,CHEESE (CASH,3232,3464,-27,17,-232,6696,20371
2019-10-08 00:00:00,CHEESE (CASH,2645,3074,-587,-390,-429,5719,17568
2019-10-15 00:00:00,CHEESE (CASH,2779,3053,134,-21,-274,5832,18091
2019-10-22 00:00:00,CHEESE (CASH,2886,3068,107,15,-182,5954,18711
2019-10-29 00:00:00,CHEESE (CASH,2959,3033,73,-35,-74,5992,19455
2019-09-03 00:00:00,CHEESE (CASH,2651,3358,-201,152,-707,6009,20656
2019-09-10 00:00:00,CHEESE (CASH,2206,3212,-445,-146,-1006,5418,18731
2019-09-17 00:00:00,CHEESE (CASH,3108,3318,902,106,-210,6426,19856
2019-09-24 00:00:00,CHEESE (CASH,3259,3447,151,129,-188,6706,20198
2019-08-06 00:00:00,CHEESE (CASH,3321,2573,-490,-1036,748,5894,18775
2019-08-13 00:00:00,CHEESE (CASH,2975,2689,-346,116,286,5664,19057
2019-08-20 00:00:00,CHEESE (CASH,2835,2853,-140,164,-18,5688,19479
2019-08-27 00:00:00,CHEESE (CASH,2852,3206,17,353,-354,6058,20336
2019-07-02 00:00:00,CHEESE (CASH,3937,4497,243,145,-560,8434,21310
2019-07-09 00:00:00,CHEESE (CASH,2849,3657,-1088,-840,-808,6506,19270
2019-07-16 00:00:00,CHEESE (CASH,3433,3657,584,0,-224,7090,20196
2019-07-23 00:00:00,CHEESE (CASH,3245,3535,-188,-122,-290,6780,21025
2019-07-30 00:00:00,CHEESE (CASH,3811,3609,566,74,202,7420,21670
2019-06-04 00:00:00,CHEESE (CASH,3128,4944,14,-152,-1816,8072,21029
2019-06-11 00:00:00,CHEESE (CASH,3406,4276,278,-668,-870,7682,18805
2019-06-18 00:00:00,CHEESE (CASH,3201,4322,-205,46,-1121,7523,19794
2019-06-25 00:00:00,CHEESE (CASH,3694,4352,493,30,-658,8046,20636
2019-05-07 00:00:00,CHEESE (CASH,2948,5187,-185,-1723,-2239,8135,18530
2019-05-14 00:00:00,CHEESE (CASH,3277,5063,329,-124,-1786,8340,19348
2019-05-21 00:00:00,CHEESE (CASH,3307,5057,30,-6,-1750,8364,19962
2019-05-28 00:00:00,CHEESE (CASH,3114,5096,-193,39,-1982,8210,20441
2019-04-02 00:00:00,CHEESE (CASH,2736,7478,-23,-419,-4742,10214,23457
2019-04-09 00:00:00,CHEESE (CASH,2743,6961,7,-517,-4218,9704,19915
2019-04-16 00:00:00,CHEESE (CASH,2920,7182,177,221,-4262,10102,20580
2019-04-23 00:00:00,CHEESE (CASH,3058,7123,138,-59,-4065,10181,20919
2019-04-30 00:00:00,CHEESE (CASH,3133,6910,75,-213,-3777,10043,21364
2019-03-05 00:00:00,CHEESE (CASH,2599,8215,-628,-2388,-5616,10814,20854
2019-03-12 00:00:00,CHEESE (CASH,2482,8381,-117,166,-5899,10863,21346
2019-03-19 00:00:00,CHEESE (CASH,2468,8130,-14,-251,-5662,10598,22169
2019-03-26 00:00:00,CHEESE (CASH,2759,7897,291,-233,-5138,10656,22784
2019-02-05 00:00:00,CHEESE (CASH,3157,10358,-563,-2949,-7201,13515,22871
2019-02-12 00:00:00,CHEESE (CASH,3220,10166,63,-192,-6946,13386,23281
2019-02-19 00:00:00,CHEESE (CASH,3227,10778,7,612,-7551,14005,23826
2019-02-26 00:00:00,CHEESE (CASH,3227,10603,0,-175,-7376,13830,24293
2019-01-08 00:00:00,CHEESE (CASH,2575,11941,-438,-1619,-9366,14516,22783
2019-01-15 00:00:00,CHEESE (CASH,2928,12147,353,206,-9219,15075,23770
2019-01-22 00:00:00,CHEESE (CASH,3242,13058,314,911,-9816,16300,24929
