Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2020-03-24 00:00:00,NON FAT DRY MILK ,1166,822,697,-368,344,1988,10098
2020-03-31 00:00:00,NON FAT DRY MILK ,1570,823,404,1,747,2393,10842
2020-02-04 00:00:00,NON FAT DRY MILK ,537,2105,-105,-55,-1568,2642,8942
2020-02-11 00:00:00,NON FAT DRY MILK ,359,2210,-178,105,-1851,2569,8577
2020-02-18 00:00:00,NON FAT DRY MILK ,224,2131,-135,-79,-1907,2355,9121
2020-02-25 00:00:00,NON FAT DRY MILK ,286,2079,62,-52,-1793,2365,9697
2020-01-07 00:00:00,NON FAT DRY MILK ,492,1884,-32,-176,-1392,2376,7542
2020-01-14 00:00:00,NON FAT DRY MILK ,633,1987,141,103,-1354,2620,7829
2020-01-21 00:00:00,NON FAT DRY MILK ,690,2020,57,33,-1330,2710,8533
2020-01-28 00:00:00,NON FAT DRY MILK ,642,2160,-48,140,-1518,2802,9015
2019-12-03 00:00:00,NON FAT DRY MILK ,507,1575,2,-110,-1068,2082,8621
2019-12-10 00:00:00,NON FAT DRY MILK ,483,1657,-24,82,-1174,2140,7792
2019-12-17 00:00:00,NON FAT DRY MILK ,574,1908,91,251,-1334,2482,8345
2019-12-31 00:00:00,NON FAT DRY MILK ,524,2060,-20,-41,-1536,2584,8629
2019-11-05 00:00:00,NON FAT DRY MILK ,574,1604,-281,-178,-1030,2178,7610
2019-11-12 00:00:00,NON FAT DRY MILK ,473,1642,-101,38,-1169,2115,8118
2019-11-19 00:00:00,NON FAT DRY MILK ,478,1614,5,-28,-1136,2092,8382
2019-11-26 00:00:00,NON FAT DRY MILK ,505,1685,27,71,-1180,2190,8476
2019-10-01 00:00:00,NON FAT DRY MILK ,968,1489,53,33,-521,2457,8888
2019-10-08 00:00:00,NON FAT DRY MILK ,689,1562,-279,73,-873,2251,7566
2019-10-15 00:00:00,NON FAT DRY MILK ,775,1656,86,94,-881,2431,7775
2019-10-22 00:00:00,NON FAT DRY MILK ,852,1725,77,69,-873,2577,8170
2019-10-29 00:00:00,NON FAT DRY MILK ,855,1782,3,57,-927,2637,8287
2019-09-03 00:00:00,NON FAT DRY MILK ,1612,1676,72,-15,-64,3288,9138
2019-09-10 00:00:00,NON FAT DRY MILK ,885,1461,-727,-215,-576,2346,8105
2019-09-17 00:00:00,NON FAT DRY MILK ,1008,1460,123,-1,-452,2468,8600
2019-09-24 00:00:00,NON FAT DRY MILK ,915,1456,-93,-4,-541,2371,8682
2019-08-06 00:00:00,NON FAT DRY MILK ,1380,1541,-699,-209,-161,2921,8170
2019-08-13 00:00:00,NON FAT DRY MILK ,1352,1658,-28,117,-306,3010,8477
2019-08-20 00:00:00,NON FAT DRY MILK ,1354,1707,2,49,-353,3061,8608
2019-08-27 00:00:00,NON FAT DRY MILK ,1540,1691,186,-16,-151,3231,8924
2019-07-02 00:00:00,NON FAT DRY MILK ,2369,2173,280,23,196,4542,10093
2019-07-09 00:00:00,NON FAT DRY MILK ,1967,1793,-402,-380,174,3760,8790
2019-07-16 00:00:00,NON FAT DRY MILK ,1869,1852,-98,59,17,3721,8861
2019-07-23 00:00:00,NON FAT DRY MILK ,1953,1795,84,-57,158,3748,9280
2019-07-30 00:00:00,NON FAT DRY MILK ,2079,1750,126,-45,329,3829,9486
2019-06-04 00:00:00,NON FAT DRY MILK ,2129,2506,207,91,-377,4635,9965
2019-06-11 00:00:00,NON FAT DRY MILK ,2139,2121,10,-385,18,4260,9404
2019-06-18 00:00:00,NON FAT DRY MILK ,2094,2111,-45,-10,-17,4205,9554
2019-06-25 00:00:00,NON FAT DRY MILK ,2089,2150,-5,39,-61,4239,9651
2019-05-07 00:00:00,NON FAT DRY MILK ,1913,2119,-210,-372,-206,4032,8763
2019-05-14 00:00:00,NON FAT DRY MILK ,1959,2432,46,313,-473,4391,9094
2019-05-21 00:00:00,NON FAT DRY MILK ,1916,2359,-43,-73,-443,4275,9336
2019-05-28 00:00:00,NON FAT DRY MILK ,1922,2415,6,56,-493,4337,9662
2019-04-02 00:00:00,NON FAT DRY MILK ,1467,2124,47,79,-657,3591,9489
2019-04-09 00:00:00,NON FAT DRY MILK ,1362,1922,-105,-202,-560,3284,8255
2019-04-16 00:00:00,NON FAT DRY MILK ,1481,2030,119,108,-549,3511,8659
2019-04-23 00:00:00,NON FAT DRY MILK ,1998,2367,517,337,-369,4365,9276
2019-04-30 00:00:00,NON FAT DRY MILK ,2123,2491,125,124,-368,4614,9645
