Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2020-03-17 00:00:00,FEEDER CATTLE ,10923,11850,-3171,-3038,-927,22773,40124
2020-03-24 00:00:00,FEEDER CATTLE ,10146,9646,-777,-2204,500,19792,36924
2020-03-31 00:00:00,FEEDER CATTLE ,10696,8483,550,-1163,2213,19179,32767
2020-02-04 00:00:00,FEEDER CATTLE ,15738,16960,-1758,2265,-1222,32698,56960
2020-02-11 00:00:00,FEEDER CATTLE ,16414,17946,676,986,-1532,34360,57672
2020-02-18 00:00:00,FEEDER CATTLE ,16675,17387,261,-559,-712,34062,57266
2020-02-25 00:00:00,FEEDER CATTLE ,16897,16175,222,-1212,722,33072,53915
2020-01-07 00:00:00,FEEDER CATTLE ,18587,12505,1682,14,6082,31092,51424
2020-01-14 00:00:00,FEEDER CATTLE ,20005,12824,1418,319,7181,32829,54709
2020-01-21 00:00:00,FEEDER CATTLE ,20056,12744,51,-80,7312,32800,53479
2020-01-28 00:00:00,FEEDER CATTLE ,17496,14695,-2560,1951,2801,32191,53468
2019-12-03 00:00:00,FEEDER CATTLE ,16914,12933,146,703,3981,29847,47327
2019-12-10 00:00:00,FEEDER CATTLE ,16466,12480,-448,-453,3986,28946,48327
2019-12-17 00:00:00,FEEDER CATTLE ,17602,11898,1136,-582,5704,29500,50343
2019-12-31 00:00:00,FEEDER CATTLE ,16905,12491,99,12,4414,29396,49679
2019-11-05 00:00:00,FEEDER CATTLE ,15657,13032,1315,1192,2625,28689,41300
2019-11-12 00:00:00,FEEDER CATTLE ,16352,12577,695,-455,3775,28929,43637
2019-11-19 00:00:00,FEEDER CATTLE ,16893,11769,541,-808,5124,28662,44864
2019-11-26 00:00:00,FEEDER CATTLE ,16768,12230,-125,461,4538,28998,45333
2019-10-01 00:00:00,FEEDER CATTLE ,15250,14327,-789,-1400,923,29577,41773
2019-10-08 00:00:00,FEEDER CATTLE ,14038,13830,-1212,-497,208,27868,42751
2019-10-15 00:00:00,FEEDER CATTLE ,14650,12654,612,-1176,1996,27304,41649
2019-10-22 00:00:00,FEEDER CATTLE ,14003,12353,-647,-301,1650,26356,39620
2019-10-29 00:00:00,FEEDER CATTLE ,14342,11840,339,-513,2502,26182,39976
2019-09-03 00:00:00,FEEDER CATTLE ,15554,17843,1089,761,-2289,33397,48067
2019-09-10 00:00:00,FEEDER CATTLE ,15417,18446,-137,603,-3029,33863,48344
2019-09-17 00:00:00,FEEDER CATTLE ,16213,17636,796,-810,-1423,33849,47269
2019-09-24 00:00:00,FEEDER CATTLE ,16039,15727,-174,-1909,312,31766,46228
2019-08-06 00:00:00,FEEDER CATTLE ,14752,17333,-201,1804,-2581,32085,47956
2019-08-13 00:00:00,FEEDER CATTLE ,14325,17577,-427,244,-3252,31902,48067
2019-08-20 00:00:00,FEEDER CATTLE ,14318,16634,-7,-943,-2316,30952,47233
2019-08-27 00:00:00,FEEDER CATTLE ,14465,17082,147,448,-2617,31547,47369
2019-07-02 00:00:00,FEEDER CATTLE ,15046,17637,106,78,-2591,32683,49579
2019-07-09 00:00:00,FEEDER CATTLE ,14556,17012,-490,-625,-2456,31568,49641
2019-07-16 00:00:00,FEEDER CATTLE ,14635,16729,79,-283,-2094,31364,48256
2019-07-23 00:00:00,FEEDER CATTLE ,14705,16645,70,-84,-1940,31350,47437
2019-07-30 00:00:00,FEEDER CATTLE ,14953,15529,248,-1116,-576,30482,47058
2019-06-04 00:00:00,FEEDER CATTLE ,15016,16512,-1241,-1991,-1496,31528,49518
2019-06-11 00:00:00,FEEDER CATTLE ,15358,16502,342,-10,-1144,31860,48144
2019-06-18 00:00:00,FEEDER CATTLE ,14946,16654,-412,152,-1708,31600,48199
2019-06-25 00:00:00,FEEDER CATTLE ,14940,17559,-6,905,-2619,32499,49507
2019-05-07 00:00:00,FEEDER CATTLE ,16941,14461,-716,1689,2480,31402,48562
2019-05-14 00:00:00,FEEDER CATTLE ,17161,16526,220,2065,635,33687,50131
2019-05-21 00:00:00,FEEDER CATTLE ,17315,18889,154,2363,-1574,36204,50836
2019-05-28 00:00:00,FEEDER CATTLE ,16257,18503,-1058,-386,-2246,34760,49698
2019-04-02 00:00:00,FEEDER CATTLE ,17852,11760,-3322,-2041,6092,29612,50526
2019-04-09 00:00:00,FEEDER CATTLE ,17471,10919,-381,-841,6552,28390,49960
2019-04-16 00:00:00,FEEDER CATTLE ,18817,11614,1346,695,7203,30431,54179
2019-04-23 00:00:00,FEEDER CATTLE ,18999,11103,182,-511,7896,30102,53423
2019-04-30 00:00:00,FEEDER CATTLE ,17657,12772,-1342,1669,4885,30429,49960
2019-03-05 00:00:00,FEEDER CATTLE ,18236,17366,1656,653,870,35602,55331
2019-03-12 00:00:00,FEEDER CATTLE ,18688,17270,452,-96,1418,35958,53982
2019-03-19 00:00:00,FEEDER CATTLE ,19277,14943,589,-2327,4334,34220,51535
2019-03-26 00:00:00,FEEDER CATTLE ,21174,13801,1897,-1142,7373,34975,53743
2019-02-05 00:00:00,FEEDER CATTLE ,15365,16360,-828,-128,-995,31725,48951
2019-02-12 00:00:00,FEEDER CATTLE ,15955,16381,590,21,-426,32336,48800
2019-02-19 00:00:00,FEEDER CATTLE ,16701,17161,746,780,-460,33862,50342
2019-02-26 00:00:00,FEEDER CATTLE ,16580,16713,-121,-448,-133,33293,51066
2019-01-08 00:00:00,FEEDER CATTLE ,16085,15814,-1337,367,271,31899,50100
2019-01-15 00:00:00,FEEDER CATTLE ,15379,15172,-706,-642,207,30551,50719
2019-01-22 00:00:00,FEEDER CATTLE ,15941,16940,562,1768,-999,32881,51643
2019-01-29 00:00:00,FEEDER CATTLE ,16193,16488,252,-452,-295,32681,51393
2018-12-04 00:00:00,FEEDER CATTLE ,16575,19857,-1376,-193,-3282,36432,49892
2018-12-11 00:00:00,FEEDER CATTLE ,16529,18942,-46,-915,-2413,35471,49231
