Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,77.000000,77.074997,75.000000,74.949997,74.949997,0
2005-01-08,74.949997,77.599998,74.425003,76.775002,76.775002,0
2005-01-15,77.000000,77.099998,73.974998,75.875000,75.875000,0
2005-01-22,75.349998,75.650002,73.500000,74.125000,74.125000,0
2005-01-29,74.025002,74.150002,71.000000,70.849998,70.849998,0
2005-02-05,70.400002,70.849998,67.699997,67.699997,67.699997,0
2005-02-12,67.775002,74.275002,67.775002,72.875000,72.875000,0
2005-02-19,73.000000,75.650002,73.000000,74.150002,74.150002,0
2005-02-26,74.349998,76.099998,73.949997,75.650002,75.650002,0
2005-03-05,76.199997,76.625000,72.025002,72.375000,72.375000,0
2005-03-12,72.599998,72.750000,69.275002,70.400002,70.400002,0
2005-03-19,70.550003,71.125000,69.550003,70.300003,70.300003,0
2005-03-26,69.099998,70.275002,68.199997,70.150002,70.150002,0
2005-04-02,70.349998,70.349998,66.500000,68.224998,68.224998,0
2005-04-09,68.500000,75.849998,68.474998,75.849998,75.849998,0
2005-04-16,74.849998,75.599998,74.500000,75.224998,75.224998,3276
2005-04-23,75.250000,78.125000,75.250000,78.150002,78.150002,6461
2005-04-30,79.074997,79.199997,78.349998,78.349998,78.349998,6765
2005-05-07,77.574997,77.574997,76.750000,76.599998,76.599998,11965
2005-05-14,75.400002,76.300003,71.474998,72.275002,72.275002,27768
2005-05-21,72.050003,72.199997,71.199997,72.250000,72.250000,25217
2005-05-28,72.000000,72.574997,67.800003,68.199997,68.199997,18227
2005-06-04,68.724998,68.900002,67.000000,67.250000,67.250000,13509
2005-06-11,67.750000,68.150002,66.000000,65.949997,65.949997,13991
2005-06-18,66.250000,66.525002,65.599998,65.650002,65.650002,21069
2005-06-25,66.449997,66.849998,65.074997,66.300003,66.300003,11143
2005-07-02,68.000000,69.199997,68.000000,68.099998,68.099998,10709
2005-07-09,68.400002,68.699997,68.000000,68.675003,68.675003,16786
2005-07-16,65.900002,68.500000,65.900002,68.224998,68.224998,34079
2005-07-23,67.699997,69.000000,67.099998,67.875000,67.875000,28358
2005-07-30,68.699997,70.000000,68.699997,70.099998,70.099998,22090
2005-08-06,69.949997,69.949997,69.199997,69.400002,69.400002,14964
2005-08-13,59.000000,62.950001,59.000000,62.150002,62.150002,39432
2005-08-20,62.700001,64.250000,61.474998,64.224998,64.224998,35438
2005-08-27,64.025002,64.824997,61.799999,61.650002,61.650002,40920
2005-09-03,61.950001,64.525002,61.750000,64.750000,64.750000,36414
2005-09-10,65.050003,65.375000,63.450001,64.500000,64.500000,57815
2005-09-17,64.750000,66.250000,64.375000,66.349998,66.349998,30694
2005-09-24,66.250000,66.849998,64.900002,67.199997,67.199997,28258
2005-10-01,67.699997,68.349998,67.250000,68.550003,68.550003,20221
2005-10-08,68.300003,68.400002,67.300003,67.375000,67.375000,21563
2005-10-15,61.400002,61.750000,59.799999,60.775002,60.775002,42245
2005-10-22,60.599998,61.450001,59.299999,60.950001,60.950001,33649
2005-10-29,61.125000,62.250000,60.775002,62.275002,62.275002,43649
2005-11-05,62.799999,64.324997,62.775002,63.424999,63.424999,73872
