time,open,high,low,close,tick_volume,spread,real_volume
2005-01-03,1.9192,1.9203999999999999,1.8981,1.9056,11154,40,0
2005-01-04,1.9053,1.9085,1.8780000000000001,1.8819,11105,40,0
2005-01-05,1.8822,1.8899,1.873,1.8843999999999999,11427,40,0
2005-01-06,1.8846,1.8858000000000001,1.8696000000000002,1.8768,11230,40,0
2005-01-07,1.8766,1.8864999999999998,1.8645,1.8712,11951,40,0
2005-01-10,1.8700999999999999,1.8795,1.8696000000000002,1.877,10594,40,0
2005-01-11,1.8775,1.8824,1.8751,1.8791,10606,40,0
2005-01-12,1.8789,1.8942,1.8695,1.8902,10467,40,0
2005-01-13,1.8902,1.8931,1.8793,1.8813,10477,40,0
2005-01-14,1.8813,1.8826,1.8638,1.8705,11596,40,0
2005-01-17,1.8704,1.8753,1.8576000000000001,1.8582,9191,40,0
2005-01-18,1.858,1.874,1.8523,1.8653,11405,40,0
2005-01-19,1.8654,1.8831,1.8627,1.8702999999999999,10853,40,0
2005-01-20,1.8702,1.8755,1.8636,1.8723,11146,40,0
2005-01-21,1.8723999999999998,1.8811,1.8612,1.8771,10939,40,0
2005-01-24,1.8784999999999998,1.884,1.874,1.8784999999999998,10581,40,0
2005-01-25,1.8782999999999999,1.8811,1.8622999999999998,1.8643,10678,40,0
2005-01-26,1.8643,1.8858000000000001,1.8634,1.8817,10966,40,0
2005-01-27,1.8822,1.8932,1.8793,1.8896,10613,40,0
2005-01-28,1.8892,1.8918,1.8784,1.8875,10603,40,0
2005-01-31,1.8853,1.8885999999999998,1.8786,1.8839000000000001,10354,40,0
2005-02-01,1.884,1.8868,1.8776000000000002,1.883,10151,40,0
2005-02-02,1.8833,1.889,1.8822,1.8866,10085,40,0
2005-02-03,1.8864999999999998,1.8916,1.8769,1.8818000000000001,10536,40,0
2005-02-04,1.8817,1.8921999999999999,1.8728,1.8747,10763,40,0
2005-02-07,1.8719999999999999,1.8754,1.8547,1.8563,10499,40,0
2005-02-08,1.8558,1.8599999999999999,1.8509,1.8537,10291,40,0
2005-02-09,1.8536000000000001,1.8646,1.8524,1.8587,10698,40,0
2005-02-10,1.8588,1.8733,1.8507,1.8681999999999999,10807,40,0
