Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2019-11-26,NEW ZEALAND DOLLAR ,10626,46452,-1723,-996,-35826,57078,70840
2019-10-01,NEW ZEALAND DOLLAR ,16114,58588,-3401,-525,-42474,74702,75163
2019-10-08,NEW ZEALAND DOLLAR ,14377,52594,-1737,-5994,-38217,66971,73793
2019-10-15,NEW ZEALAND DOLLAR ,14383,54399,6,1805,-40016,68782,74796
2019-10-22,NEW ZEALAND DOLLAR ,12149,52291,-2234,-2108,-40142,64440,73499
2019-10-29,NEW ZEALAND DOLLAR ,11612,52015,-537,-276,-40403,63627,72478
2019-09-03,NEW ZEALAND DOLLAR ,21066,51742,-69,4560,-30676,72808,67827
2019-09-10,NEW ZEALAND DOLLAR ,22490,52280,1424,538,-29790,74770,73148
2019-09-17,NEW ZEALAND DOLLAR ,15824,51867,-6666,-413,-36043,67691,68408
2019-09-24,NEW ZEALAND DOLLAR ,19515,59113,3691,7246,-39598,78628,75074
2019-08-06,NEW ZEALAND DOLLAR ,17898,29462,2781,2026,-11564,47360,57131
2019-08-13,NEW ZEALAND DOLLAR ,20500,33947,2602,4485,-13447,54447,59895
2019-08-20,NEW ZEALAND DOLLAR ,21073,39333,573,5386,-18260,60406,62760
2019-08-27,NEW ZEALAND DOLLAR ,21135,47182,62,7849,-26047,68317,64672
2019-07-02,NEW ZEALAND DOLLAR ,11272,35304,-6339,-6360,-24032,46576,55017
2019-07-09,NEW ZEALAND DOLLAR ,10484,32689,-788,-2615,-22205,43173,54222
2019-07-16,NEW ZEALAND DOLLAR ,10839,28158,355,-4531,-17319,38997,50025
2019-07-23,NEW ZEALAND DOLLAR ,16029,28254,5190,96,-12225,44283,54066
2019-07-30,NEW ZEALAND DOLLAR ,15117,27436,-912,-818,-12319,42553,53172
2019-06-04,NEW ZEALAND DOLLAR ,23476,43872,-1510,2738,-20396,67348,68760
2019-06-11,NEW ZEALAND DOLLAR ,23072,39194,-404,-4678,-16122,62266,62497
2019-06-18,NEW ZEALAND DOLLAR ,19552,44020,-3520,4826,-24468,63572,64240
2019-06-25,NEW ZEALAND DOLLAR ,17611,41664,-1941,-2356,-24053,59275,61828
2019-05-07,NEW ZEALAND DOLLAR ,16308,29050,-2730,-1448,-12742,45358,48392
2019-05-14,NEW ZEALAND DOLLAR ,19075,30513,2767,1463,-11438,49588,50262
2019-05-21,NEW ZEALAND DOLLAR ,26446,37310,7371,6797,-10864,63756,58548
2019-05-28,NEW ZEALAND DOLLAR ,24986,41134,-1460,3824,-16148,66120,61961
2019-04-02,NEW ZEALAND DOLLAR ,20854,21259,-1716,-1513,-405,42113,39164
2019-04-09,NEW ZEALAND DOLLAR ,18911,20394,-1943,-865,-1483,39305,37599
2019-04-16,NEW ZEALAND DOLLAR ,17030,20251,-1881,-143,-3221,37281,37770
2019-04-23,NEW ZEALAND DOLLAR ,21367,26817,4337,6566,-5450,48184,45134
2019-04-30,NEW ZEALAND DOLLAR ,19038,30498,-2329,3681,-11460,49536,49266
2019-03-05,NEW ZEALAND DOLLAR ,20687,19266,2392,1885,1421,39953,39314
2019-03-12,NEW ZEALAND DOLLAR ,20974,16377,287,-2889,4597,37351,42326
2019-03-19,NEW ZEALAND DOLLAR ,17301,18425,-3673,2048,-1124,35726,36146
2019-03-26,NEW ZEALAND DOLLAR ,22570,22772,5269,4347,-202,45342,42640
2019-02-05,NEW ZEALAND DOLLAR ,19257,18710,4366,1003,547,37967,34054
2019-02-12,NEW ZEALAND DOLLAR ,17944,19067,-1313,357,-1123,37011,35744
2019-02-19,NEW ZEALAND DOLLAR ,18718,19458,774,391,-740,38176,36758
2019-02-26,NEW ZEALAND DOLLAR ,18295,17381,-423,-2077,914,35676,35407
2019-01-08,NEW ZEALAND DOLLAR ,14895,16433,-3377,123,-1538,31328,29804
2019-01-15,NEW ZEALAND DOLLAR ,14129,17069,-766,636,-2940,31198,30350
2019-01-22,NEW ZEALAND DOLLAR ,15437,20026,1308,2957,-4589,35463,33089
2019-01-29,NEW ZEALAND DOLLAR ,14891,17707,-546,-2319,-2816,32598,31684
2018-12-04,NEW ZEALAND DOLLAR ,17694,38991,1321,2078,-21297,56685,56348
2018-12-11,NEW ZEALAND DOLLAR ,19127,34368,1433,-4623,-15241,53495,62587
2018-12-18,NEW ZEALAND DOLLAR ,18820,15409,-307,-18959,3411,34229,29675
2018-12-24,NEW ZEALAND DOLLAR ,17717,15777,-1103,368,1940,33494,28524
2018-12-31,NEW ZEALAND DOLLAR ,18272,16310,555,533,1962,34582,29640
2018-11-06,NEW ZEALAND DOLLAR ,10434,36160,1478,-7827,-25726,46594,51288
2018-11-13,NEW ZEALAND DOLLAR ,11138,32006,704,-4154,-20868,43144,50015
2018-11-20,NEW ZEALAND DOLLAR ,15489,34836,4351,2830,-19347,50325,53661
2018-11-27,NEW ZEALAND DOLLAR ,16373,36913,884,2077,-20540,53286,54184
2018-10-02,NEW ZEALAND DOLLAR ,10678,41274,-228,-1467,-30596,51952,56448
2018-10-09,NEW ZEALAND DOLLAR ,15418,49238,4740,7964,-33820,64656,64710
2018-10-16,NEW ZEALAND DOLLAR ,11136,46548,-4282,-2690,-35412,57684,62490
2018-10-23,NEW ZEALAND DOLLAR ,9634,42682,-1502,-3866,-33048,52316,58683
2018-10-30,NEW ZEALAND DOLLAR ,8956,43987,-678,1305,-35031,52943,59718
2018-09-04,NEW ZEALAND DOLLAR ,16291,41185,-154,813,-24894,57476,55781
2018-09-11,NEW ZEALAND DOLLAR ,19408,42055,3117,870,-22647,61463,59669
2018-09-18,NEW ZEALAND DOLLAR ,11021,43010,-8387,955,-31989,54031,57429
2018-09-29,NEW ZEALAND DOLLAR ,10906,42741,-115,-269,-31835,53647,56994
2018-08-07,NEW ZEALAND DOLLAR ,14051,38578,-403,444,-24527,52629,51319
2018-08-14,NEW ZEALAND DOLLAR ,15723,42416,1672,3838,-26693,58139,56128
2018-08-21,NEW ZEALAND DOLLAR ,15665,40808,-58,-1608,-25143,56473,55473
2018-08-28,NEW ZEALAND DOLLAR ,16445,40372,780,-436,-23927,56817,54564
2018-07-03,NEW ZEALAND DOLLAR ,14522,40926,-376,8466,-26404,55448,53676
2018-07-10,NEW ZEALAND DOLLAR ,13170,39744,-1352,-1182,-26574,52914,52787
2018-07-17,NEW ZEALAND DOLLAR ,15392,40459,2222,715,-25067,55851,53254
2018-07-24,NEW ZEALAND DOLLAR ,14977,39347,-415,-1112,-24370,54324,51898
2018-07-31,NEW ZEALAND DOLLAR ,14454,38134,-523,-1213,-23680,52588,51816
2018-06-05,NEW ZEALAND DOLLAR ,33307,28924,2362,-620,4383,62231,62065
2018-06-12,NEW ZEALAND DOLLAR ,34836,27830,1529,-1094,7006,62666,64699
2018-06-19,NEW ZEALAND DOLLAR ,14656,30596,-20180,2766,-15940,45252,43308
2018-06-26,NEW ZEALAND DOLLAR ,14898,32460,242,1864,-17562,47358,45026
2018-05-01,NEW ZEALAND DOLLAR ,29899,13326,-10034,-2173,16573,43225,47605
2018-05-08,NEW ZEALAND DOLLAR ,29004,16458,-895,3132,12546,45462,49725
2018-05-15,NEW ZEALAND DOLLAR ,28754,26801,-250,10343,1953,55555,59874
2018-05-22,NEW ZEALAND DOLLAR ,27077,28440,-1677,1639,-1363,55517,60456
2018-05-29,NEW ZEALAND DOLLAR ,30945,29544,3868,1104,1401,60489,62523
2018-04-03,NEW ZEALAND DOLLAR ,32948,14571,199,61,18377,47519,47079
2018-04-10,NEW ZEALAND DOLLAR ,41652,18825,8704,4254,22827,60477,55938
2018-04-17,NEW ZEALAND DOLLAR ,47255,19652,5603,827,27603,66907,61437
2018-04-24,NEW ZEALAND DOLLAR ,39933,15499,-7322,-4153,24434,55432,55385
2018-03-06,NEW ZEALAND DOLLAR ,33091,33061,912,-109,30,66152,59354
2018-03-13,NEW ZEALAND DOLLAR ,34689,37505,1598,4444,-2816,72194,66872
