Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2019-07-30,EURO FX ,175132,229115,1649,16628,-53983,404247,563024
2019-06-04,EURO FX ,155771,243322,4642,-7498,-87551,399093,517428
2019-06-11,EURO FX ,149661,236453,-6110,-6869,-86792,386114,542810
2019-06-18,EURO FX ,162795,215125,13134,-21328,-52330,377920,503825
2019-06-25,EURO FX ,159285,215580,-3510,455,-56295,374865,521907
2019-05-07,EURO FX ,152633,258738,-1188,-627,-106105,411371,516282
2019-05-14,EURO FX ,150681,245982,-1952,-12756,-95301,396663,504460
2019-05-21,EURO FX ,149873,250975,-808,4993,-101102,400848,516122
2019-05-28,EURO FX ,151129,250820,1256,-155,-99691,401949,536798
2019-04-02,EURO FX ,144973,244157,5277,24183,-99184,389130,497717
2019-04-09,EURO FX ,140401,242599,-4572,-1558,-102198,383000,494804
2019-04-16,EURO FX ,144867,242890,4466,291,-98023,387757,499280
2019-04-23,EURO FX ,148331,253749,3464,10859,-105418,402080,507722
2019-04-30,EURO FX ,153821,259365,5490,5616,-105544,413186,517935
2019-03-05,EURO FX ,155922,234088,12075,17786,-78166,390010,541753
2019-03-12,EURO FX ,151857,227602,-4065,-6486,-75745,379459,536724
2019-03-19,EURO FX ,141700,219404,-10157,-8198,-77704,361104,483172
2019-03-26,EURO FX ,139696,219974,-2004,570,-80278,359670,486804
2019-02-05,EURO FX ,145480,197444,-1145,4345,-51964,342924,523868
2019-02-12,EURO FX ,157170,221070,11690,23626,-63900,378240,538627
2019-02-19,EURO FX ,145762,220696,-11408,-374,-74934,366458,537396
2019-02-26,EURO FX ,143847,216302,-1915,-4394,-72455,360149,528376
2019-01-08,EURO FX ,146271,186804,-2017,-8132,-40533,333075,514545
2019-01-15,EURO FX ,152534,185195,6263,-1609,-32661,337729,525052
2019-01-22,EURO FX ,148652,189658,-3882,4463,-41006,338310,527176
2019-01-29,EURO FX ,146625,193099,-2027,3441,-46474,339724,527521
2018-12-04,EURO FX ,144859,205635,-4860,845,-60776,350494,545537
2018-12-11,EURO FX ,146082,202369,1223,-3266,-56287,348451,613745
2018-12-18,EURO FX ,147654,200778,1572,-1591,-53124,348432,505711
2018-12-24,EURO FX ,139059,197514,-8595,-3264,-58455,336573,508253
2018-12-31,EURO FX ,148288,194936,9229,-2578,-46648,343224,505986
2018-11-06,EURO FX ,148973,195816,-8718,5463,-46843,344789,510193
2018-11-13,EURO FX ,161860,198879,12887,3063,-37019,360739,520240
2018-11-20,EURO FX ,157633,204862,-4227,5983,-47229,362495,535707
2018-11-27,EURO FX ,149719,204790,-7914,-72,-55071,354509,538454
2018-10-02,EURO FX ,164738,171839,-7688,3109,-7101,336577,479644
2018-10-09,EURO FX ,162315,178457,-2423,6618,-16142,340772,483802
2018-10-16,EURO FX ,140817,170161,-21498,-8296,-29344,310978,469299
2018-10-23,EURO FX ,149585,179889,8768,9728,-30304,329474,489829
2018-10-30,EURO FX ,157691,190353,8106,10464,-32662,348044,504458
2018-09-04,EURO FX ,173335,165372,1976,-13206,7963,338707,527579
2018-09-11,EURO FX ,164639,153469,-8696,-11903,11170,318108,550492
2018-09-18,EURO FX ,166468,164802,1829,11333,1666,331270,465130
2018-09-29,EURO FX ,172426,168730,5958,3928,3696,341156,477881
2018-08-07,EURO FX ,177923,167358,3374,15634,10565,345281,507186
2018-08-14,EURO FX ,188428,190217,10505,22859,-1789,378645,526571
2018-08-21,EURO FX ,188907,193748,479,3531,-4841,382655,532137
2018-08-28,EURO FX ,171359,178578,-17548,-15170,-7219,349937,529124
