Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2020-03-17 00:00:00,JAPANESE YEN ,57286,24351,-4446,-29224,32935,81637,125769
2020-03-24 00:00:00,JAPANESE YEN ,56528,32665,-758,8314,23863,89193,125594
2020-03-31 00:00:00,JAPANESE YEN ,48444,30162,-8084,-2503,18282,78606,120270
2020-02-04 00:00:00,JAPANESE YEN ,57672,79570,11996,-2131,-21898,137242,190079
2020-02-11 00:00:00,JAPANESE YEN ,54805,80993,-2867,1423,-26188,135798,193822
2020-02-18 00:00:00,JAPANESE YEN ,58605,85826,3800,4833,-27221,144431,203631
2020-02-25 00:00:00,JAPANESE YEN ,53855,110244,-4750,24418,-56389,164099,223904
2020-01-07 00:00:00,JAPANESE YEN ,47846,60094,4178,-8876,-12248,107940,162094
2020-01-14 00:00:00,JAPANESE YEN ,49720,81150,1874,21056,-31430,130870,183863
2020-01-21 00:00:00,JAPANESE YEN ,50596,95297,876,14147,-44701,145893,203579
2020-01-28 00:00:00,JAPANESE YEN ,45676,81701,-4920,-13596,-36025,127377,184919
2019-12-03 00:00:00,JAPANESE YEN ,48312,96135,-966,7266,-47823,144447,214223
2019-12-10 00:00:00,JAPANESE YEN ,41843,85525,-6469,-10610,-43682,127368,198700
2019-12-17 00:00:00,JAPANESE YEN ,43418,85480,1575,-45,-42062,128898,178529
2019-12-31 00:00:00,JAPANESE YEN ,43668,68970,3076,-5164,-25302,112638,174966
2019-11-05 00:00:00,JAPANESE YEN ,43996,70601,4811,11718,-26605,114597,177106
2019-11-12 00:00:00,JAPANESE YEN ,43964,78961,-32,8360,-34997,122925,183480
2019-11-19 00:00:00,JAPANESE YEN ,45423,80454,1459,1493,-35031,125877,182445
2019-11-26 00:00:00,JAPANESE YEN ,49278,88869,3855,8415,-39591,138147,196894
2019-10-01 00:00:00,JAPANESE YEN ,57893,43976,12134,11000,13917,101869,151860
2019-10-08 00:00:00,JAPANESE YEN ,52803,41791,-5090,-2185,11012,94594,150019
2019-10-15 00:00:00,JAPANESE YEN ,46416,53057,-6387,11266,-6641,99473,157707
2019-10-22 00:00:00,JAPANESE YEN ,41556,59721,-4860,6664,-18165,101277,159250
2019-10-29 00:00:00,JAPANESE YEN ,39185,58883,-2371,-838,-19698,98068,163486
2019-09-03 00:00:00,JAPANESE YEN ,57222,29540,-2573,3352,27682,86762,157788
2019-09-10 00:00:00,JAPANESE YEN ,56579,23988,-643,-5552,32591,80567,151397
2019-09-17 00:00:00,JAPANESE YEN ,50842,26980,-5737,2992,23862,77822,130940
2019-09-24 00:00:00,JAPANESE YEN ,45759,32976,-5083,5996,12783,78735,142026
2019-08-06 00:00:00,JAPANESE YEN ,46225,35664,9197,-5582,10561,81889,153338
2019-08-13 00:00:00,JAPANESE YEN ,51764,27022,5539,-8642,24742,78786,160271
