Date,Symbol,Release,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest,Percentile,Step,Adj OI,Percentile Adj OI,Rates dA,DNN,MLR,MLP
2015-02-17,BRITISH POUND STERLING ,2015-02-24,42999,71797,6201,-3604,-28798,114796,170627,33.65155131264916,-1.0,-0.16877750883506126,34.36754176610979,1.48248,1.476213812828064,1.4805908203125,-3.372825301531576e+19
2015-02-24,BRITISH POUND STERLING ,2015-03-03,46741,68611,3742,-3186,-21870,115352,169784,40.930787589498806,-1.0,-0.12881072421429582,44.39140811455847,1.49535,1.4386394023895264,1.452392578125,-2.980088647336154e+19
2015-01-06,BRITISH POUND STERLING ,2015-01-13,39156,64726,4084,10352,-25570,103882,161876,36.27684964200478,-1.0,-0.15796041414415973,37.23150357995227,1.50376,1.6225574016571045,1.529052734375,-3.0579674617543496e+19
2015-01-13,BRITISH POUND STERLING ,2015-01-20,41920,79060,2764,14334,-37140,120980,178563,23.747016706443915,-1.0,-0.20799381730817695,28.162291169451073,1.5214400000000001,1.5010191202163696,1.498779296875,-4.40539105856094e+19
2015-01-20,BRITISH POUND STERLING ,2015-01-27,35319,81027,-6601,1967,-45708,116346,182860,18.13842482100239,-1.0,-0.2499617193481352,22.315035799522672,1.5363099999999998,1.4225729703903198,1.4708251953125,-4.234050786230665e+19
2015-01-27,BRITISH POUND STERLING ,2015-02-03,38649,83989,3330,2962,-45340,122638,185350,18.257756563245824,-1.0,-0.24461828972214728,23.985680190930786,1.5455299999999998,1.4562170505523682,1.4437255859375,-4.5636701093620556e+19
2014-12-09,BRITISH POUND STERLING ,2014-12-16,37695,61297,-861,-8273,-23602,98992,192104,39.02147971360382,-1.0,-0.12286053387748302,46.18138424821002,1.52473,1.4528898000717163,1.4224853515625,-2.1792896832661807e+19
2014-12-16,BRITISH POUND STERLING ,2014-12-23,37861,52413,166,-8884,-14552,90274,137581,47.01670644391408,-1.0,-0.10577041888051403,48.92601431980907,1.51703,1.4907947778701782,1.5133056640625,-1.418171736614672e+19
2014-12-23,BRITISH POUND STERLING ,2014-12-30,36615,51848,-1246,-565,-15233,88463,141455,46.4200477326969,-1.0,-0.10768795730090841,48.56801909307876,1.5110000000000001,1.4709798097610474,1.5296630859375,-1.627705474996261e+19
2014-12-30,BRITISH POUND STERLING ,2015-01-06,35072,54374,-1543,2526,-19302,89446,143660,42.840095465393794,-1.0,-0.13435890296533481,43.436754176610975,1.5076100000000001,1.5723226070404053,1.540283203125,-1.9435761192300814e+19
2014-11-04,BRITISH POUND STERLING ,2014-11-11,43289,50751,2571,3786,-7462,94040,144215,54.41527446300716,-1.0,-0.051742190479492425,55.727923627684966,1.5728,1.4300633668899536,1.544921875,-1.620082506871595e+19
2014-11-11,BRITISH POUND STERLING ,2014-11-18,40661,53552,-2628,2801,-12891,94213,151660,48.92601431980907,-1.0,-0.08499934063035738,50.95465393794749,1.56497,1.4111870527267456,1.5299072265625,-1.7359024382627664e+19
2014-11-18,BRITISH POUND STERLING ,2014-11-25,42865,65694,2204,12142,-22829,108559,166966,40.09546539379475,-1.0,-0.13672843572942994,42.60143198090692,1.56357,1.512272596359253,1.5048828125,-3.2103400679539573e+19
2014-10-07,BRITISH POUND STERLING ,2014-10-14,46503,47578,-7740,-3076,-1075,94081,129666,61.81384248210024,-1.0,-0.008290531056714944,61.81384248210024,1.5969799999999998,1.5883742570877075,1.572265625,-5.768249499905905e+18
2014-10-14,BRITISH POUND STERLING ,2014-10-21,43116,45953,-3387,-1625,-2837,89069,138471,59.54653937947494,-1.0,-0.020488044428075194,60.023866348448685,1.58403,1.4425441026687622,1.561767578125,-7.567643009701239e+18
2014-10-21,BRITISH POUND STERLING ,2014-10-28,36567,41052,-6549,-4901,-4485,77619,135766,57.875894988066825,-1.0,-0.033034780431035755,57.995226730310264,1.56389,1.3829816579818726,1.5745849609375,-4.032589878747014e+18
2014-10-28,BRITISH POUND STERLING ,2014-11-04,40718,46965,4151,5913,-6247,87683,138661,56.32458233890215,-1.0,-0.04505232184969097,56.921241050119335,1.57042,1.4481366872787476,1.5635986328125,-1.4989363914906522e+19
2014-09-02,BRITISH POUND STERLING ,2014-09-09,67538,58090,-3464,2555,9448,125628,238973,71.59904534606206,1.0,0.03953584714591188,68.73508353221958,1.62392,1.3549882173538208,1.4244384765625,6.893907431104172e+17
2014-09-09,BRITISH POUND STERLING ,2014-09-16,81330,54603,13792,-3487,26727,135933,256591,85.0835322195704,1.0,0.10416187629340078,76.49164677804296,1.60808,1.531851887702942,1.3876953125,1.7447943920466868e+19
2014-09-16,BRITISH POUND STERLING ,2014-09-23,55617,62198,-25713,7595,-6581,117815,134560,55.727923627684966,-1.0,-0.04890755053507729,56.443914081145586,1.60818,1.3728389739990234,1.5662841796875,-1.6690309096648059e+19
2014-09-23,BRITISH POUND STERLING ,2014-09-30,53691,54741,-1926,-7457,-1050,108432,134061,61.933174224343674,-1.0,-0.007832255465795421,62.05250596658711,1.61618,1.5950905084609985,1.5321044921875,-9.282922295484903e+18
2014-09-30,BRITISH POUND STERLING ,2014-10-07,54243,50654,552,-4087,3589,104897,132369,66.10978520286396,1.0,0.02711359910553075,66.46778042959427,1.61152,1.622360110282898,1.5802001953125,-7.427216855961199e+18
2014-08-05,BRITISH POUND STERLING ,2014-08-12,66437,54316,-8933,3856,12121,120753,230801,74.22434367541766,1.0,0.05251710347875443,70.40572792362768,1.66062,1.382059931755066,1.4554443359375,6.86407792974086e+18
2014-08-12,BRITISH POUND STERLING ,2014-08-19,65348,46549,-1089,-7767,18799,111897,223719,79.11694510739856,1.0,0.08402951917360618,74.70167064439141,1.6102699999999999,1.465135931968689,1.4508056640625,2.226915978702854e+19
2014-08-19,BRITISH POUND STERLING ,2014-08-26,72230,58943,6882,12394,13287,131173,237291,75.41766109785203,1.0,0.05599453835164418,71.00238663484487,1.6231,1.540357232093811,1.4375,-1.2457435325125003e+19
2014-08-26,BRITISH POUND STERLING ,2014-09-02,71002,55535,-1228,-3408,15467,126537,233435,76.49164677804296,1.0,0.06625827318097115,73.15035799522673,1.6360000000000001,1.3432196378707886,1.41650390625,1.1692431672267692e+19
2014-07-01,BRITISH POUND STERLING ,2014-07-08,99929,43517,1831,-4830,56412,143446,255911,96.06205250596659,1.0,0.22043601095693424,87.3508353221957,1.6981199999999999,1.6865273714065552,1.460205078125,8.28598444287283e+19
2014-07-08,BRITISH POUND STERLING ,2014-07-15,86614,44975,-13315,1458,41639,131589,254788,92.8400954653938,1.0,0.16342606402185347,83.17422434367542,1.68602,1.6567881107330322,1.4610595703125,6.243428559820743e+19
2014-07-15,BRITISH POUND STERLING ,2014-07-22,85983,47213,-631,2238,38770,133196,255115,91.76610978520286,1.0,0.1519706798894616,81.86157517899761,1.67851,1.681950330734253,1.443115234375,4.346539573297485e+19
2014-07-22,BRITISH POUND STERLING ,2014-07-29,71792,44295,-14191,-2918,27497,116087,241155,85.68019093078759,1.0,0.11402210196761418,77.44630071599045,1.6726100000000002,1.63668954372406,1.4681396484375,4.24544728398791e+19
2014-07-29,BRITISH POUND STERLING ,2014-08-05,75370,50460,3578,6165,24910,125830,237411,83.17422434367542,1.0,0.1049235292383251,76.6109785202864,1.65771,1.391234278678894,1.45654296875,1.2436581630525133e+19
2014-06-03,BRITISH POUND STERLING ,2014-06-10,79476,44502,1038,1368,34974,123978,239604,89.97613365155131,1.0,0.14596584364200932,81.14558472553699,1.71035,1.7027240991592407,1.468994140625,3.5668633401630314e+19
2014-06-10,BRITISH POUND STERLING ,2014-06-17,85202,49360,5726,4858,35842,134562,271602,90.69212410501193,1.0,0.1319651548957666,79.83293556085918,1.7125,1.7013410329818726,1.4073486328125,3.2032322174473515e+19
2014-06-17,BRITISH POUND STERLING ,2014-06-24,100434,47838,15232,-1522,52596,148272,250231,95.22673031026252,1.0,0.21018978463899357,86.75417661097852,1.7082000000000002,1.6965255737304688,1.447021484375,5.161469957593617e+19
2014-06-24,BRITISH POUND STERLING ,2014-07-01,98098,48347,-2336,509,49751,146445,254369,94.74940334128878,1.0,0.1955859401106267,85.56085918854416,1.70742,1.663810133934021,1.4554443359375,6.503463893535583e+19
2014-05-06,BRITISH POUND STERLING ,2014-05-13,83794,43148,-2119,1469,40646,126942,241264,92.24343675417661,1.0,0.16847105245705948,83.77088305489261,1.67466,1.6718910932540894,1.4755859375,4.761252323650154e+19
2014-05-13,BRITISH POUND STERLING ,2014-05-20,71168,39413,-12626,-3735,31755,110581,230333,88.3054892601432,1.0,0.13786561196181182,80.42959427207637,1.68019,1.6502584218978882,1.4945068359375,4.8084889251053806e+19
2014-05-20,BRITISH POUND STERLING ,2014-05-27,80009,46919,8841,7506,33090,126928,237637,88.78281622911695,1.0,0.13924599283781566,80.5489260143198,1.6979899999999999,1.5884848833084106,1.469482421875,1.7555610424301271e+19
2014-05-27,BRITISH POUND STERLING ,2014-06-03,78438,43134,-1571,-3785,35304,121572,238440,90.33412887828162,1.0,0.14806240563663814,81.38424821002387,1.70268,1.6984812021255493,1.4659423828125,4.484637640352711e+19
